1	1	1	1.105	1.028	1	1	1	1.09	1.044	1	1	1	1.075	1.06
1	1	1	1.157	1.042	1	1	1	1.135	1.066	1	1	1	1.113	1.09
1	1	1	1.209	1.056	1	1	1	1.18	1.088	1	1	1	1.15	1.12
1	1	1	1.262	1.069	1	1	1	1.225	1.11	1	1	1	1.188	1.15
1	1.081	1.081	1.314	1.083	1	1.219	1.219	1.269	1.132	1	1.356	1.356	1.225	1.18
1	1.096	1.096	1.366	1.097	1	1.269	1.269	1.314	1.154	1	1.441	1.441	1.263	1.21
1	1.111	1.111	1.418	1.111	1	1.325	1.325	1.359	1.176	1	1.538	1.538	1.3	1.24
1	1.12	1.12	1.436	1.116	1	1.334	1.334	1.386	1.179	1	1.548	1.548	1.335	1.243
1	1.129	1.129	1.454	1.12	1	1.343	1.343	1.412	1.183	1	1.558	1.558	1.37	1.246
1	1.138	1.138	1.472	1.124	1	1.353	1.353	1.438	1.187	1	1.567	1.567	1.405	1.249
1	1.147	1.147	1.489	1.129	1	1.362	1.362	1.465	1.19	1	1.577	1.577	1.44	1.252
1	1.156	1.156	1.507	1.133	1	1.372	1.372	1.491	1.194	1	1.587	1.587	1.475	1.255
1	1.166	1.166	1.525	1.138	1	1.381	1.381	1.517	1.198	1	1.597	1.597	1.51	1.258
1	1.175	1.175	1.543	1.142	1	1.391	1.391	1.544	1.202	1	1.608	1.608	1.545	1.261
1	1.185	1.185	1.56	1.147	1	1.401	1.401	1.57	1.205	1	1.618	1.618	1.58	1.264
1	1.195	1.195	1.578	1.151	1	1.412	1.412	1.597	1.209	1	1.629	1.629	1.615	1.267
1	1.205	1.205	1.596	1.156	1	1.422	1.422	1.623	1.213	1	1.639	1.639	1.65	1.27
1	1.209	1.209	1.613	1.16	1	1.426	1.426	1.649	1.217	1	1.642	1.642	1.685	1.273
1	1.214	1.214	1.631	1.164	1	1.429	1.429	1.676	1.22	1	1.645	1.645	1.72	1.276
1	1.218	1.218	1.649	1.169	1	1.433	1.433	1.702	1.224	1	1.647	1.647	1.755	1.279
1	1.222	1.222	1.667	1.173	1	1.436	1.436	1.728	1.228	1	1.65	1.65	1.79	1.282
1	1.227	1.227	1.684	1.178	1	1.44	1.44	1.755	1.231	1	1.653	1.653	1.825	1.285
1	1.232	1.232	1.702	1.182	1	1.444	1.444	1.781	1.235	1	1.656	1.656	1.86	1.288
1	1.236	1.236	1.72	1.187	1	1.447	1.447	1.807	1.239	1	1.658	1.658	1.895	1.291
1	1.241	1.241	1.738	1.191	1	1.451	1.451	1.834	1.243	1	1.661	1.661	1.93	1.294
1	1.245	1.245	1.755	1.196	1	1.455	1.455	1.86	1.246	1	1.664	1.664	1.965	1.297
