1	1	1	1	1	1	1	1	 1.000 	 1.000 
1	1	1	1	1	1	1	1	 1.000 	 1.000 
1	1	1	0.945	0.92	1	1	1	 0.930 	 0.924 
1	1	1	0.889	0.84	1	1	1	 0.860 	 0.849 
1	1	1	0.834	0.76	1	1	1	 0.790 	 0.773 
1	1	1	0.779	0.679	1	1	1	 0.720 	 0.697 
1	1	1	0.723	0.599	1	1	1	 0.650 	 0.621 
1	1	1	0.668	0.519	1	1	1	 0.580 	 0.546 
1	1	1	0.613	0.439	1	1	1	 0.510 	 0.470 
1	1	1	0.607	0.433	1	1	1	 0.501 	 0.463 
1	1	1	0.601	0.426	1	1	1	 0.492 	 0.456 
1	1	1	0.596	0.42	1	1	1	 0.483 	 0.449 
1	1	1	0.59	0.414	1	1	1	 0.474 	 0.442 
1	1	1	0.584	0.407	1	1	1	 0.465 	 0.435 
1	1	1	0.579	0.401	1	1	1	 0.456 	 0.428 
1	1	1	0.573	0.395	1	1	1	 0.447 	 0.421 
1	1	1	0.568	0.388	1	1	1	 0.438 	 0.414 
1	1	1	0.562	0.382	1	1	1	 0.429 	 0.407 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
1	1	1	0.556	0.376	1	1	1	 0.420 	 0.400 
