430	437	434	428	423	437	424	425	428	449	471	485	501	507	536	544	581	613	621	633	650	697	733	739	801	830	850	888	908
243	240	250	258	258	261	250	263	273	287	308	331	344	345	378	396	433	458	478	477	487	513	557	565	584	612	622	655	661
440	450	462	490	508	514	506	526	570	594	641	674	723	761	823	869	900	914	905	896	919	967	995	996	1047	1055	1073	1099	1134
328	330	329	324	323	330	326	316	305	315	337	368	394	414	423	424	437	436	435	426	420	437	451	452	464	471	463	468	468
1607	1648	1673	1740	1812	1812	1842	1861	1910	2028	2167	2326	2532	2826	3059	3167	3258	3312	3367	3455	3602	3758	3869	3960	4099	4210	4247	4329	4388
0	0	0	0	0	0	0	2	5	5	5	9	12	12	12	12	12	13	14	14	14	16	17	20	20	20	20	20	20
29	33	38	45	57	63	65	72	77	87	99	113	126	158	193	219	228	239	243	257	283	314	340	350	376	382	402	415	437
98	99	99	100	104	106	110	105	113	139	163	185	225	258	292	313	335	333	335	333	333	348	363	369	381	384	382	381	380
1214	1236	1240	1266	1288	1248	1257	1253	1262	1336	1409	1483	1583	1707	1801	1827	1859	1890	1938	2012	2106	2190	2239	2257	2345	2410	2437	2488	2519
3879	3964	4022	4091	4162	4211	4263	4322	4374	4444	4537	4781	4962	5160	5341	5431	5514	5696	5890	6002	6053	6141	6233	6340	6397	6429	6418	6455	6537
9	10	10	11	11	11	11	11	12	13	14	14	14	14	15	17	22	23	24	24	28	31	37	42	43	48	58	65	72
6	6	6	6	6	6	6	6	6	6	6	6	6	4	4	3	3	0	0	0	0	0	0	0	1	1	1	1	1
13	13	14	15	15	15	15	15	15	15	15	16	17	18	18	17	14	14	13	11	9	9	9	7	7	7	7	9	9
62	68	73	76	81	94	95	104	117	131	135	138	138	138	136	136	135	135	133	131	129	127	125	120	115	105	99	98	94
0	0	0	0	0	0	0	1	3	9	23	47	76	126	164	189	200	202	218	251	279	309	336	388	429	462	519	544	575
554	576	575	590	598	601	609	606	605	597	594	604	612	618	621	629	629	619	612	611	609	607	605	594	589	593	594	589	584
158	168	174	179	188	195	203	206	211	209	207	220	237	259	265	270	282	295	313	320	339	348	353	355	356	358	364	379	394
45	48	53	55	54	59	58	58	59	62	64	69	78	85	96	106	116	118	123	131	140	159	181	187	196	199	202	213	233
23	23	23	23	23	22	22	20	23	25	27	27	25	25	21	21	20	20	20	20	23	24	24	22	21	21	21	21	21
83	86	88	88	91	96	103	101	104	102	103	107	111	131	138	141	141	143	156	164	199	243	266	271	289	312	336	361	402
438	467	494	482	487	507	528	538	564	609	657	710	767	822	956	1163	1364	1509	1568	1637	1630	1652	1693	1726	1777	1839	1913	1946	1996
798	829	885	907	940	998	1079	1111	1126	1203	1296	1395	1475	1549	1617	1788	1970	2167	2339	2429	2451	2446	2505	2569	2700	2830	2924	3032	3132
837	898	952	992	999	1021	1101	1178	1234	1312	1416	1508	1606	1723	1881	2203	2552	2822	3005	3124	3306	3422	3526	3601	3715	3825	3924	4037	4154
3114	3109	3099	2998	2936	2870	2794	2745	2712	2728	2778	2819	2924	3082	3276	3552	3665	3688	3638	3655	3683	3698	3732	3809	3877	3941	4096	4267	4401
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
