430	430	430	430	430
437	437	437	437	437
434	434	434	434	434
428	428	428	428	428
423	423	423	423	423
437	437	437	437	437
424	424	424	424	424
425	425	425	425	425
428	428	428	428	428
449	449	449	449	449
471	471	471	471	471
485	485	485	485	485
501	501	501	501	501
507	507	507	507	507
536	536	536	536	536
544	544	544	544	544
581	581	581	581	581
613	613	613	613	613
621	621	621	621	621
633	633	633	633	633
650	650	650	650	650
697	697	697	697	697
733	733	733	733	733
739	739	739	739	739
801	801	801	801	801
830	830	830	830	830
850	850	850	850	850
888	888	888	888	888
908	908	908	908	908
906	916	936	956	967
916	932	964	996	1013
926	949	992	1036	1059
935	965	1021	1077	1106
943	980	1049	1118	1154
951	995	1077	1159	1203
958	1009	1105	1201	1252
963	1022	1133	1244	1303
968	1035	1161	1288	1354
972	1047	1189	1332	1407
975	1059	1218	1376	1460
977	1070	1246	1421	1514
979	1081	1274	1467	1569
979	1091	1302	1513	1625
979	1100	1330	1560	1682
978	1110	1358	1607	1739
976	1118	1386	1655	1797
974	1126	1415	1703	1856
970	1134	1443	1752	1915
966	1141	1471	1801	1975
962	1148	1499	1850	2036
957	1154	1527	1900	2098
951	1160	1555	1951	2160
944	1165	1584	2002	2223
937	1170	1612	2053	2286
929	1175	1640	2105	2351
243	243	243	243	243
240	240	240	240	240
250	250	250	250	250
258	258	258	258	258
258	258	258	258	258
261	261	261	261	261
250	250	250	250	250
263	263	263	263	263
273	273	273	273	273
287	287	287	287	287
308	308	308	308	308
331	331	331	331	331
344	344	344	344	344
345	345	345	345	345
378	378	378	378	378
396	396	396	396	396
433	433	433	433	433
458	458	458	458	458
478	478	478	478	478
477	477	477	477	477
487	487	487	487	487
513	513	513	513	513
557	557	557	557	557
565	565	565	565	565
584	584	584	584	584
612	612	612	612	612
622	622	622	622	622
655	655	655	655	655
661	661	661	661	661
654	663	680	696	705
658	672	698	724	738
662	681	717	752	771
667	690	735	780	804
670	699	754	808	837
674	708	772	837	871
676	716	791	866	906
678	724	809	895	941
680	731	828	925	976
681	738	847	955	1013
681	745	865	986	1050
680	751	884	1017	1087
680	757	902	1048	1125
678	762	921	1080	1164
676	767	939	1112	1203
674	772	958	1144	1242
670	776	977	1177	1283
