22	11	13	30	41	27	38	37	29	31	18	29	41	53	54	62	49	30	24	20	47	50	39	68	37	35	42	22	1
9	10	20	16	21	16	24	24	27	25	26	26	14	45	37	44	45	27	8	10	27	57	32	26	30	23	42	8	9
16	22	36	49	23	14	33	77	52	65	50	56	68	96	70	59	45	20	17	32	53	64	50	53	18	53	39	38	27
3	1	1	9	16	5	12	22	37	45	43	43	43	38	31	29	15	12	4	3	18	21	13	13	10	2	9	1	1
75	58	82	105	85	67	96	150	185	184	226	282	366	345	262	180	125	113	130	186	188	146	153	173	140	145	123	72	85
0	0	0	0	0	1	2	3	0	0	4	3	0	0	0	0	1	1	0	0	2	1	3	0	0	0	0	0	0
4	6	7	12	6	2	7	8	10	12	15	13	32	41	31	12	19	7	14	27	31	32	16	26	10	28	19	22	20
1	0	1	4	5	4	3	16	32	28	26	43	41	36	30	28	13	9	4	2	16	18	13	12	3	2	0	0	0
51	26	41	52	39	46	64	98	128	115	127	162	178	166	123	88	76	94	107	121	107	75	67	111	83	97	73	40	31
33	17	23	32	19	14	36	59	87	79	80	106	130	141	99	58	48	75	78	100	93	57	47	88	67	67	51	28	20
1	1	1	0	1	0	0	1	1	1	0	1	2	1	2	5	1	2	0	4	3	6	4	1	5	9	7	8	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1
6	5	3	5	13	1	9	13	14	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	2	6	14	24	29	50	38	25	11	2	16	33	28	30	27	52	41	34	57	25	31	60
29	13	26	15	12	16	5	4	9	6	15	23	18	19	21	25	21	8	20	13	9	12	3	9	19	18	9	5	7
13	9	8	11	10	9	11	12	2	0	14	20	28	13	21	19	20	21	16	22	15	12	13	6	8	11	15	16	11
3	5	2	1	6	0	4	3	3	2	6	9	8	15	11	10	2	6	9	10	21	25	14	10	3	4	12	20	10
0	0	0	0	0	0	0	4	4	2	0	0	3	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
3	2	0	3	5	7	3	8	2	3	7	11	27	12	9	3	2	13	8	35	46	25	10	18	23	24	25	42	26
48	41	12	25	30	33	20	29	41	48	58	57	45	111	212	251	214	103	94	88	104	75	51	80	113	88	50	56	38
44	76	60	63	64	115	58	25	79	91	107	82	75	82	172	258	326	245	159	121	114	109	68	138	145	103	119	131	122
90	75	74	42	42	99	92	66	79	104	94	99	127	185	335	397	377	267	192	254	213	172	90	132	148	116	123	152	168
85	106	78	72	47	61	61	50	64	95	88	128	218	407	380	376	344	198	170	201	139	109	102	102	105	178	186	155	162
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
